question_text,ideal_answer,key_points,difficulty,category
Explain the Django request-response lifecycle in detail.,"The Django request-response lifecycle begins when a client sends an HTTP request to the server. The request first passes through middleware, then Django resolves the URL to a view using the URL dispatcher. The view processes the request, interacts with models if needed, and returns a response which again passes through middleware before being sent back to the client.","[""client sends HTTP request"",""request processed by middleware"",""URL dispatcher maps URL to view"",""view processes business logic"",""response returned to client""]",hard,django
What are Django database transactions and why are they important?,"Django database transactions ensure that a group of database operations are executed as a single unit. If any operation fails, the entire transaction is rolled back to maintain database consistency and integrity.","[""ensures atomic database operations"",""supports commit and rollback"",""maintains data consistency"",""uses transaction.atomic"",""important for financial or critical operations""]",hard,django
What is the purpose of the Django ContentType framework?,"The Django ContentType framework allows models to reference other models dynamically, enabling generic relationships and flexible data structures.","[""tracks installed models"",""used for generic relations"",""supports dynamic model referencing"",""part of Django contrib modules"",""commonly used with GenericForeignKey""]",hard,django
What are Generic Foreign Keys in Django?,Generic Foreign Keys allow a model to reference instances of multiple other models using the ContentType framework.,"[""uses ContentType framework"",""allows flexible relationships"",""references multiple models"",""uses GenericForeignKey field"",""useful for comments or tagging systems""]",hard,django
What is database sharding and how can it be implemented in Django?,"Database sharding divides a large database into smaller, more manageable pieces called shards. In Django, it can be implemented using database routers to direct queries to different databases.","[""divides database into shards"",""improves scalability"",""uses database routers"",""supports distributed databases"",""reduces database load""]",hard,django
What is the difference between select_related and prefetch_related in terms of database queries?,"select_related performs SQL joins to fetch related objects in a single query, while prefetch_related performs separate queries and joins the results in Python.","[""select_related uses SQL JOIN"",""prefetch_related uses separate queries"",""select_related for ForeignKey"",""prefetch_related for ManyToMany"",""both improve query performance""]",hard,django
What is Django's AppConfig and why is it used?,AppConfig provides metadata and configuration for Django applications. It allows developers to customize application behavior and register application-specific settings.,"[""represents application configuration"",""defined in apps.py"",""supports application initialization"",""used to register signals"",""provides metadata for apps""]",hard,django
What are Django signals and what are their limitations?,"Django signals allow applications to get notified when certain actions occur. However, excessive use of signals can make code harder to maintain and debug.","[""event notification system"",""triggered on model actions"",""supports decoupled apps"",""can create hidden dependencies"",""may affect maintainability""]",hard,django
Explain Django's caching framework and different caching strategies.,"Django caching framework stores frequently used data to reduce processing time. It supports strategies like per-site caching, per-view caching, template fragment caching, and low-level caching.","[""improves performance"",""reduces database queries"",""supports multiple cache backends"",""per-view and per-site caching"",""supports Redis and Memcached""]",hard,django
What is Django's custom model manager?,A custom model manager allows developers to add extra query methods to models and customize database query behavior.,"[""extends default manager"",""adds custom query methods"",""used for reusable queries"",""defined using models.Manager"",""improves code readability""]",hard,django
How does Django handle static files in production?,"In production, Django collects static files into a single directory using the collectstatic command and serves them through a web server like Nginx or Apache.","[""uses collectstatic command"",""gathers static assets"",""served by web server"",""improves performance"",""configured with STATIC_ROOT""]",hard,django
What is the difference between WSGI and ASGI in Django?,"WSGI is used for synchronous applications, while ASGI supports asynchronous communication such as WebSockets and long-lived connections.","[""WSGI for synchronous requests"",""ASGI supports async features"",""ASGI enables WebSockets"",""important for real-time apps"",""Django supports both interfaces""]",hard,django
What are Django database routers?,Database routers control which database should handle read and write operations in multi-database Django setups.,"[""supports multiple databases"",""controls query routing"",""handles read/write separation"",""configured in settings.py"",""used for scalability""]",hard,django
Explain Django's lazy QuerySet evaluation.,"Django QuerySets are lazily evaluated, meaning database queries are not executed until the data is actually needed.","[""delays database execution"",""improves performance"",""query executed when iterated"",""supports chaining operations"",""reduces unnecessary queries""]",hard,django
What are Django migrations and how do they handle schema changes?,Django migrations track changes in models and generate database schema updates that can be applied incrementally.,"[""tracks model changes"",""creates migration files"",""applies schema updates"",""supports version control"",""handled using makemigrations and migrate""]",hard,django
What is the role of Django REST Framework viewsets?,"Viewsets combine multiple views into a single class that provides common actions like create, retrieve, update, and delete for APIs.","[""used in DRF APIs"",""combines multiple views"",""supports CRUD operations"",""works with routers"",""reduces repetitive code""]",hard,django
What are Django throttling mechanisms in REST APIs?,Throttling in Django REST Framework limits the number of API requests a client can make in a given period to prevent abuse.,"[""limits API usage"",""prevents abuse"",""configurable rate limits"",""implemented in DRF"",""supports user and anonymous throttling""]",hard,django
What is Django's form clean method and when is it used?,The clean method in Django forms is used to perform custom validation across multiple fields after individual field validation.,"[""custom validation method"",""checks multiple fields"",""runs after field validation"",""raises validation errors"",""improves data integrity""]",hard,django
What are Django database constraints?,"Database constraints enforce rules at the database level to ensure data integrity, such as unique constraints and check constraints.","[""ensures data validity"",""includes unique constraints"",""supports check constraints"",""defined in models"",""enforced at database level""]",hard,django
What is Django's get_absolute_url method?,"The get_absolute_url method returns the canonical URL for a model instance, allowing consistent linking to object detail pages.","[""returns object URL"",""defined in models"",""used for object linking"",""improves URL consistency"",""commonly used in templates""]",hard,django
What is Flask?,"Flask is a lightweight Python web framework used to build web applications and APIs. It provides essential tools for routing, request handling, and templating while allowing developers to add extensions as needed.","[""lightweight Python web framework"",""used for web applications"",""used for APIs"",""minimal and flexible"",""supports extensions""]",easy,flask
What is routing in Flask?,"Routing in Flask maps URLs to specific Python functions so that when a user visits a particular URL, the corresponding function is executed.","[""maps URLs to functions"",""handled using decorators"",""defines application endpoints"",""connects client request to logic"",""uses @app.route""]",easy,flask
What is the purpose of the Flask app object?,"The Flask app object represents the web application and is used to configure settings, define routes, and run the server.","[""represents the web application"",""created using Flask class"",""used for routing"",""manages configuration"",""runs the application""]",easy,flask
What is a route decorator in Flask?,A route decorator in Flask is used to bind a URL to a Python function that handles requests to that URL.,"[""uses @app.route"",""links URL to function"",""handles HTTP requests"",""defines endpoints"",""core Flask feature""]",easy,flask
What is the request object in Flask?,"The request object in Flask contains information about the incoming HTTP request, such as form data, query parameters, and headers.","[""represents client request"",""contains form data"",""contains query parameters"",""includes request headers"",""used in view functions""]",easy,flask
What is the response object in Flask?,The response object in Flask represents the HTTP response that the server sends back to the client after processing a request.,"[""represents server response"",""sent to client"",""contains status code"",""contains response body"",""can include headers""]",easy,flask
What is Jinja2 in Flask?,Jinja2 is the default templating engine used in Flask to generate dynamic HTML pages by embedding Python-like expressions inside templates.,"[""templating engine"",""generates dynamic HTML"",""used with Flask templates"",""supports loops and conditions"",""uses template syntax""]",easy,flask
What is the purpose of render_template in Flask?,The render_template function in Flask is used to render HTML templates and send them as responses to the client.,"[""renders HTML templates"",""uses Jinja2 engine"",""sends HTML to browser"",""supports dynamic data"",""commonly used in views""]",easy,flask
What is the purpose of url_for in Flask?,The url_for function generates URLs for specific functions dynamically instead of hardcoding URLs in templates or code.,"[""generates URLs dynamically"",""avoids hardcoded URLs"",""used in templates"",""supports routing changes"",""improves maintainability""]",easy,flask
What is Flask debug mode?,Flask debug mode enables automatic reloading and detailed error messages during development.,"[""used during development"",""shows detailed errors"",""auto reloads server"",""helps debugging"",""not recommended for production""]",easy,flask
What is Flask development server?,The Flask development server is a built-in server used to run and test Flask applications during development.,"[""built-in server"",""used for testing"",""runs locally"",""not for production"",""started with app.run()""]",easy,flask
What is Flask extension?,"A Flask extension is a package that adds additional functionality to Flask applications, such as database integration or authentication.","[""adds extra functionality"",""external packages"",""extends Flask capabilities"",""examples include Flask-Login"",""improves development speed""]",easy,flask
What is Flask request method?,"The request method represents the HTTP method used by the client such as GET, POST, PUT, or DELETE.","[""represents HTTP method"",""includes GET and POST"",""handled in routes"",""controls request behavior"",""important for APIs""]",easy,flask
What is Flask template folder?,The template folder in Flask stores HTML templates that are rendered and returned to users.,"[""stores HTML templates"",""default folder name templates"",""used with render_template"",""supports Jinja2"",""separates UI from logic""]",easy,flask
What is Flask static folder?,"The static folder in Flask stores static files such as CSS, JavaScript, and images used by the web application.","[""stores static assets"",""includes CSS and JS"",""default folder name static"",""served directly by Flask"",""used in web UI""]",easy,flask
What is Flask session?,Flask session allows storing user-specific data across multiple requests using cookies.,"[""stores user data"",""persists across requests"",""stored in cookies"",""used for login sessions"",""requires secret key""]",easy,flask
What is Flask redirect?,The redirect function in Flask sends the user to a different URL after processing a request.,"[""redirects user"",""sends new URL"",""used after form submission"",""prevents duplicate requests"",""commonly used with url_for""]",easy,flask
What is Flask request.args?,request.args in Flask is used to access query parameters sent in the URL.,"[""accesses query parameters"",""part of request object"",""used for GET requests"",""returns dictionary-like data"",""common in search queries""]",easy,flask
What is Flask request.form?,request.form is used to access form data submitted through POST requests in Flask.,"[""handles form submissions"",""used in POST requests"",""part of request object"",""returns form fields"",""used in web forms""]",easy,flask
What is the purpose of Flask secret key?,The secret key in Flask is used to secure sessions and protect cookies from tampering.,"[""secures sessions"",""protects cookies"",""required for session management"",""stored in configuration"",""important for security""]",easy,flask
What is the difference between Flask and Django?,"Flask is a lightweight micro web framework that provides only the core features required to build web applications, while Django is a full-stack framework that includes built-in components like ORM, authentication, and admin panel.","[""Flask is micro framework"",""Django is full-stack framework"",""Flask is flexible and minimal"",""Django has built-in components"",""Flask requires extensions for many features""]",medium,flask
What are Blueprints in Flask?,"Blueprints in Flask are used to organize a large application into smaller reusable components, allowing modular structure and easier maintenance.","[""modular application structure"",""helps organize large projects"",""supports reusable components"",""separates routes into modules"",""improves maintainability""]",medium,flask
What is Flask application context?,Flask application context allows access to application-level variables such as configuration and current application object during request handling.,"[""stores application-level data"",""used during request lifecycle"",""accessed using current_app"",""separate from request context"",""managed automatically""]",medium,flask
What is Flask request context?,"Flask request context stores request-specific data such as request, session, and g objects for the duration of a request.","[""contains request data"",""active during request lifecycle"",""stores request object"",""includes session and g"",""automatically pushed and popped""]",medium,flask
What is the g object in Flask?,The g object is a global namespace used to store data during a request lifecycle so that it can be accessed across functions within the same request.,"[""request-level storage"",""temporary global variable"",""used during single request"",""accessible across functions"",""cleared after request""]",medium,flask
What is Flask CLI?,"Flask CLI is a command-line interface that allows developers to run Flask applications, manage environments, and execute custom commands.","[""command line tool"",""runs applications"",""supports custom commands"",""helps manage environment"",""uses flask command""]",medium,flask
What is Flask-SQLAlchemy?,"Flask-SQLAlchemy is an extension that integrates SQLAlchemy ORM with Flask, making database operations easier to manage.","[""database ORM extension"",""integrates SQLAlchemy"",""simplifies database access"",""supports multiple databases"",""used for models and queries""]",medium,flask
What is Flask-Migrate?,Flask-Migrate is an extension that handles database schema migrations for Flask applications using Alembic.,"[""manages database migrations"",""based on Alembic"",""tracks schema changes"",""works with Flask-SQLAlchemy"",""supports upgrade and downgrade""]",medium,flask
What is REST API development in Flask?,"Flask can be used to build RESTful APIs by creating routes that handle HTTP methods such as GET, POST, PUT, and DELETE and return JSON responses.","[""builds web APIs"",""supports HTTP methods"",""returns JSON responses"",""commonly used for backend services"",""lightweight API framework""]",medium,flask
What is Flask-Login?,Flask-Login is an extension that provides user session management and authentication for Flask applications.,"[""handles user authentication"",""manages login sessions"",""tracks logged-in users"",""provides login_required decorator"",""commonly used in Flask apps""]",medium,flask
What is Flask-WTF?,Flask-WTF is an extension that integrates WTForms with Flask to simplify form handling and validation.,"[""form handling library"",""integrates WTForms"",""supports form validation"",""protects against CSRF"",""used for web forms""]",medium,flask
What is CSRF protection in Flask?,CSRF protection prevents unauthorized commands from being executed by ensuring that requests come from trusted sources.,"[""protects against CSRF attacks"",""implemented using tokens"",""commonly used with Flask-WTF"",""important for web security"",""prevents unauthorized requests""]",medium,flask
What is Flask RESTful?,Flask-RESTful is an extension that simplifies building REST APIs by providing tools for creating resource-based endpoints.,"[""API development extension"",""supports resource-based design"",""handles HTTP methods"",""returns JSON responses"",""simplifies REST API creation""]",medium,flask
What is Flask configuration system?,"Flask configuration system allows developers to manage application settings such as database connections, secret keys, and debug options.","[""manages application settings"",""stored in config object"",""supports environment variables"",""controls application behavior"",""improves flexibility""]",medium,flask
What is Flask error handling?,Flask error handling allows developers to define custom responses for HTTP errors such as 404 or 500.,"[""handles HTTP errors"",""supports custom error pages"",""uses errorhandler decorator"",""improves user experience"",""manages server errors""]",medium,flask
What is Flask logging?,Flask logging allows developers to record application events and errors for debugging and monitoring purposes.,"[""records application events"",""helps debugging"",""supports log levels"",""integrates with Python logging"",""important for monitoring""]",medium,flask
What is Flask testing?,Flask testing allows developers to test application functionality using built-in test clients and testing frameworks like pytest.,"[""supports automated testing"",""uses test client"",""tests routes and responses"",""ensures code reliability"",""integrates with pytest""]",medium,flask
What is Flask middleware concept?,Middleware in Flask refers to functions that process requests before they reach the application or responses before they are sent to the client.,"[""intercepts requests"",""processes responses"",""used for logging or authentication"",""part of request lifecycle"",""improves application control""]",medium,flask
What is Flask before_request decorator?,The before_request decorator in Flask allows functions to run before every request is processed.,"[""runs before request handling"",""used for preprocessing"",""common for authentication checks"",""applies globally"",""part of request lifecycle""]",medium,flask
What is Flask after_request decorator?,The after_request decorator allows developers to modify responses before they are sent back to the client.,"[""runs after view function"",""modifies response object"",""used for headers or logging"",""part of response lifecycle"",""applies globally""]",medium,flask
What is Flask teardown_request?,teardown_request is a decorator used to execute cleanup code after each request is completed.,"[""runs after request ends"",""used for cleanup tasks"",""commonly closes database connections"",""executed even if errors occur"",""part of request lifecycle""]",medium,flask
What is Flask streaming response?,Streaming response allows Flask to send data to the client gradually rather than loading the entire response in memory.,"[""sends data in chunks"",""improves performance"",""reduces memory usage"",""useful for large data"",""supports generators""]",medium,flask
What is Flask JSON handling?,Flask provides built-in support for JSON serialization and deserialization for API responses and requests.,"[""handles JSON data"",""used for APIs"",""supports jsonify function"",""converts Python objects to JSON"",""important for web services""]",medium,flask
What is Flask deployment process?,Flask applications are deployed using production servers such as Gunicorn or uWSGI behind a web server like Nginx.,"[""uses production servers"",""Gunicorn or uWSGI"",""web server like Nginx"",""improves scalability"",""separates development and production""]",medium,flask
What is Flask environment configuration?,Flask environment configuration allows developers to manage development and production settings using environment variables.,"[""separates environments"",""uses environment variables"",""controls debug mode"",""manages configuration"",""improves security""]",medium,flask
What is Flask pagination?,Pagination in Flask divides large datasets into smaller pages so that users can navigate through data easily.,"[""divides large datasets"",""improves performance"",""improves user experience"",""commonly used in APIs"",""reduces response size""]",medium,flask
What is Flask API authentication?,API authentication in Flask ensures that only authorized users can access API endpoints using methods like tokens or JWT.,"[""protects API endpoints"",""uses tokens or JWT"",""verifies user identity"",""important for security"",""restricts unauthorized access""]",medium,flask
What is Flask CORS?,CORS in Flask allows web applications from different domains to access resources from the Flask server.,"[""cross-origin resource sharing"",""allows cross-domain requests"",""used in APIs"",""implemented with Flask-CORS"",""important for frontend-backend integration""]",medium,flask
What is Flask application factory pattern?,"The application factory pattern creates Flask app instances dynamically, making applications more modular and easier to test.","[""creates app instances dynamically"",""supports modular structure"",""improves testing"",""used in large applications"",""reduces circular imports""]",medium,flask
What is Flask dependency injection concept?,Dependency injection in Flask involves passing required resources like database connections or services to components instead of creating them internally.,"[""improves modular design"",""separates dependencies"",""improves testing"",""reduces tight coupling"",""used in scalable apps""]",medium,flask
Explain Flask request-response lifecycle in detail.,"The Flask request-response lifecycle begins when a client sends an HTTP request. Flask creates a request context and application context, passes the request through before_request functions, matches the URL to a view function, executes the view, generates a response, passes it through after_request functions, and finally sends it to the client. Teardown functions are executed afterward.","[""client sends HTTP request"",""Flask creates request and app contexts"",""before_request functions execute"",""URL matched to view"",""view generates response"",""after_request functions modify response"",""response sent to client"",""teardown_request functions run""]",hard,flask
How does Flask handle multiple database connections?,"Flask can handle multiple databases using SQLAlchemy bind keys. Each model can be associated with a specific bind, and database operations are routed to the correct connection. Flask extensions like Flask-SQLAlchemy help manage sessions and ensure transactions are properly handled per database.","[""supports multiple databases"",""uses SQLAlchemy bind keys"",""models linked to binds"",""routes operations per database"",""manages transactions separately"",""uses Flask-SQLAlchemy for session management""]",hard,flask
What are Flask application factories and why are they used?,"Application factories in Flask are functions that create and configure Flask app instances dynamically. They allow modular code, better testing, and support multiple app instances with different configurations.","[""creates Flask app dynamically"",""enables modular design"",""supports testing"",""allows multiple configurations"",""reduces circular import issues""]",hard,flask
Explain Flask middleware and how it is implemented.,"Flask middleware are functions that intercept requests and responses to add functionality such as logging, authentication, or error handling. They can be implemented using before_request, after_request, and teardown_request decorators or WSGI middleware.","[""intercepts requests and responses"",""used for logging, auth, errors"",""implemented via decorators"",""can use WSGI middleware"",""applied globally across app""]",hard,flask
How does Flask support asynchronous programming?,"Flask supports asynchronous views using async def functions. Flask 2.x can handle asynchronous I/O operations, allowing integration with async libraries. However, the WSGI server must support async or ASGI should be used for full async capabilities.","[""supports async view functions"",""integrates with async libraries"",""requires async-capable server"",""Flask 2.x supports async"",""ASGI recommended for full async""]",hard,flask
Explain Flask request hooks and their types.,"Flask request hooks allow code to execute at specific points in the request lifecycle. Types include before_request (runs before view), after_request (runs after view), teardown_request (runs after response), and before_first_request (runs once per app startup).","[""hooks execute at lifecycle points"",""before_request runs before view"",""after_request runs after view"",""teardown_request runs post-response"",""before_first_request runs once""]",hard,flask
What is Flask context (application and request) and how is it managed?,"Flask context separates application-level data (app context) and request-specific data (request context). The app context provides current_app and g objects, while request context provides request and session. Flask automatically pushes and pops contexts per request, or developers can manage them manually.","[""app context stores app-level data"",""request context stores request data"",""current_app and g in app context"",""request and session in request context"",""contexts pushed and popped automatically""]",hard,flask
Explain Flask custom error handling and exceptions.,"Flask allows developers to define custom error handlers using the @app.errorhandler decorator. Handlers can catch specific HTTP errors or exceptions and return custom responses, templates, or JSON messages.","[""custom error handlers using decorator"",""handles HTTP errors and exceptions"",""returns custom responses"",""supports templates or JSON"",""improves user experience""]",hard,flask
How does Flask handle large file uploads efficiently?,"Flask handles large file uploads using streaming with request.stream, saving files in chunks to avoid loading everything into memory. Developers can also use Werkzeug’s FileStorage or Flask-Uploads extension for efficient management.","[""streams file uploads"",""saves in chunks"",""avoids memory overflow"",""uses Werkzeug FileStorage"",""Flask-Uploads for management""]",hard,flask
Explain Flask security best practices.,"Flask security best practices include using secret keys for sessions, enabling CSRF protection with Flask-WTF, validating user input, avoiding direct SQL queries (use ORM), using HTTPS, and managing authentication and authorization carefully.","[""secret key for sessions"",""CSRF protection"",""validate user input"",""use ORM to prevent SQL injection"",""use HTTPS"",""manage auth and permissions""]",hard,flask
How does Flask handle JSON Web Token (JWT) authentication?,"Flask uses JWT for stateless authentication. The server generates a token upon login, which the client sends with requests. Flask verifies the token, decodes payload, and grants access based on claims. Extensions like Flask-JWT-Extended simplify this process.","[""JWT for stateless auth"",""token generated on login"",""client sends token with requests"",""server verifies and decodes token"",""Flask-JWT-Extended simplifies usage""]",hard,flask
Explain Flask database session management and transactions.,"Flask with SQLAlchemy manages sessions per request to track changes. Transactions are started per session, committed on success, and rolled back on errors. Developers can control session lifecycle manually for complex operations.","[""SQLAlchemy session tracks changes"",""transaction per session"",""commit on success"",""rollback on error"",""manual control for complex operations""]",hard,flask
What are Flask signals and their use cases?,"Flask signals provide a way to decouple code by notifying listeners when specific events occur, such as request_started, request_finished, or template_rendered. They are useful for logging, analytics, or triggering background tasks.","[""decouples event handling"",""notifies listeners on events"",""common signals: request_started, request_finished"",""used for logging and analytics"",""triggers background tasks""]",hard,flask
Explain Flask async background tasks.,"Flask can execute background tasks using Celery or threading. Async tasks run outside request-response cycle, allowing long-running operations without blocking requests.","[""executes tasks outside request"",""prevents blocking"",""uses Celery or threading"",""supports long-running operations"",""improves responsiveness""]",hard,flask
Explain Flask WebSocket support.,"Flask supports WebSockets via extensions like Flask-SocketIO, enabling real-time bidirectional communication between client and server, useful for chat apps or live updates.","[""real-time communication"",""bidirectional data flow"",""uses Flask-SocketIO extension"",""supports event-driven messages"",""used for chat and live updates""]",hard,flask
How does Flask handle CORS securely?,"Flask handles CORS using the Flask-CORS extension, which allows specifying allowed origins, headers, and methods. Proper configuration prevents cross-site attacks while enabling legitimate cross-domain requests.","[""cross-origin resource sharing"",""configure allowed origins"",""configure headers and methods"",""prevent cross-site attacks"",""implemented via Flask-CORS""]",hard,flask
Explain Flask streaming responses for large datasets.,"Flask can stream responses using generators, sending data in chunks to the client without loading everything into memory, which is efficient for large files or long data streams.","[""sends data in chunks"",""reduces memory usage"",""uses generator functions"",""efficient for large datasets"",""response streamed to client""]",hard,flask
Explain Flask application deployment for production.,"Flask applications are deployed using production-grade WSGI servers like Gunicorn or uWSGI, often behind Nginx or Apache. Configurations include multiple worker processes, logging, SSL, environment variables, and scaling considerations.","[""uses WSGI server (Gunicorn/uWSGI)"",""behind web server (Nginx/Apache)"",""multiple workers for concurrency"",""configure logging and SSL"",""use environment variables for config""]",hard,flask
Explain Flask caching strategies for performance optimization.,"Flask caching can be implemented using Flask-Caching to store frequently accessed data. Strategies include per-view caching, fragment caching, and low-level caching using Redis or Memcached to reduce database load and response time.","[""store frequently accessed data"",""per-view caching"",""fragment caching"",""low-level caching"",""use Redis or Memcached"",""reduces database queries""]",hard,flask
Explain Flask dependency injection and service layers.,"Flask supports dependency injection by passing resources like database connections or services into functions or classes. This decouples components, improves testing, and creates modular service layers for scalable applications.","[""pass dependencies explicitly"",""decouples components"",""supports modular design"",""improves testing"",""used in service layer architecture""]",hard,flask
What is TypeScript?,TypeScript is a superset of JavaScript that adds static typing and other advanced features to improve code quality and maintainability. It compiles to plain JavaScript so it can run in any browser or JavaScript environment.,"[""superset of javascript"",""adds static typing"",""compiled to javascript"",""improves code maintainability"",""developed by microsoft""]",easy,typescript
Why is TypeScript used in development?,"TypeScript is used to improve code reliability by adding static types, better tooling, and improved error detection during development. It helps developers write cleaner and more maintainable code.","[""static type checking"",""better error detection"",""improved code maintainability"",""supports modern javascript features"",""better IDE support""]",easy,typescript
What is a type in TypeScript?,A type in TypeScript defines the kind of value a variable can hold. It helps ensure that variables are used consistently and prevents incorrect data assignments.,"[""defines variable data type"",""ensures type safety"",""used for validation"",""prevents runtime errors"",""improves code readability""]",easy,typescript
What are basic data types in TypeScript?,"TypeScript provides basic data types such as number, string, boolean, array, tuple, enum, any, void, and null or undefined.","[""number type"",""string type"",""boolean type"",""array and tuple"",""any void null undefined""]",easy,typescript
What is the 'any' type in TypeScript?,The any type allows a variable to hold any kind of value. It disables type checking for that variable and behaves similarly to variables in JavaScript.,"[""can hold any value"",""disables type checking"",""similar to javascript behavior"",""reduces type safety"",""used when type is unknown""]",easy,typescript
What is a tuple in TypeScript?,A tuple is a special type of array in TypeScript that allows storing elements of different data types with a fixed length and order.,"[""fixed length array"",""stores multiple types"",""order matters"",""typed elements"",""useful for structured data""]",easy,typescript
What is an enum in TypeScript?,An enum is a data type used to define a set of named constants. It makes code easier to read and maintain by giving meaningful names to values.,"[""named constants"",""improves readability"",""numeric or string enums"",""used for fixed values"",""defined using enum keyword""]",easy,typescript
What is a function in TypeScript?,A function in TypeScript is a reusable block of code that performs a specific task. It can have typed parameters and return types to ensure type safety.,"[""reusable code block"",""can define parameter types"",""can define return type"",""improves code structure"",""supports arrow functions""]",easy,typescript
What is the difference between let and const in TypeScript?,"The let keyword is used to declare variables whose values can change, while const is used to declare variables whose values cannot be reassigned after initialization.","[""let allows reassignment"",""const prevents reassignment"",""both block scoped"",""used for variable declaration"",""improves code safety""]",easy,typescript
What is type inference in TypeScript?,Type inference is the ability of TypeScript to automatically determine the type of a variable based on the value assigned to it.,"[""automatic type detection"",""reduces need for explicit types"",""based on assigned value"",""improves developer productivity"",""part of typescript compiler""]",easy,typescript
What is an interface in TypeScript?,An interface defines the structure of an object by specifying the properties and their types. It helps enforce consistency across objects.,"[""defines object structure"",""specifies properties"",""improves code consistency"",""used in object typing"",""supports extension""]",easy,typescript
What is a class in TypeScript?,"A class in TypeScript is a blueprint for creating objects. It can contain properties, constructors, and methods, and supports object-oriented programming concepts.","[""blueprint for objects"",""supports constructors"",""contains methods and properties"",""supports OOP principles"",""compiled to javascript""]",easy,typescript
What is a constructor in TypeScript?,A constructor is a special method inside a class that is automatically called when a new object is created. It is used to initialize object properties.,"[""special class method"",""called during object creation"",""initializes properties"",""defined inside class"",""only one constructor allowed""]",easy,typescript
What is the use of access modifiers in TypeScript?,"Access modifiers control the visibility of class members. TypeScript provides public, private, and protected modifiers to restrict access to variables and methods.","[""controls access level"",""public modifier"",""private modifier"",""protected modifier"",""supports encapsulation""]",easy,typescript
What is the difference between TypeScript and JavaScript?,"TypeScript adds static typing, interfaces, and advanced features on top of JavaScript. It must be compiled to JavaScript before running in a browser.","[""typescript is superset"",""static typing support"",""compiled to javascript"",""better tooling support"",""improves large scale development""]",easy,typescript
What is the void type in TypeScript?,The void type represents the absence of a value. It is commonly used as the return type of functions that do not return any value.,"[""no return value"",""used in functions"",""represents absence of value"",""similar to undefined return"",""improves type clarity""]",easy,typescript
What is a module in TypeScript?,"A module is a file that contains variables, functions, classes, or interfaces that can be exported and reused in other files.","[""separate code file"",""supports export and import"",""improves code organization"",""supports modular development"",""reusable components""]",easy,typescript
What is an array in TypeScript?,An array in TypeScript is a collection of elements of the same data type stored in a single variable.,"[""collection of elements"",""same data type"",""ordered structure"",""indexed values"",""can use array type syntax""]",easy,typescript
What is a type alias in TypeScript?,A type alias allows developers to create a custom name for a type. It helps simplify complex types and improves code readability.,"[""custom type name"",""defined using type keyword"",""simplifies complex types"",""improves readability"",""used with unions and objects""]",easy,typescript
What is optional property in TypeScript?,An optional property is a property that may or may not exist in an object. It is defined using a question mark symbol after the property name.,"[""property may be absent"",""defined using question mark"",""used in interfaces"",""improves flexibility"",""prevents strict requirement""]",easy,typescript
What is the difference between interface and type in TypeScript?,"Both interface and type are used to define the structure of objects in TypeScript. Interfaces are mainly used for object shapes and support extension, while type aliases are more flexible and can represent primitives, unions, intersections, and other complex types.","[""both define structure"",""interface used for object shape"",""type supports union and intersection"",""interface can be extended"",""type more flexible""]",medium,typescript
What are union types in TypeScript?,Union types allow a variable to hold values of multiple types. They are defined using the pipe symbol and allow flexibility while still maintaining type checking.,"[""multiple possible types"",""defined using pipe symbol"",""improves flexibility"",""type checking still applied"",""commonly used in APIs""]",medium,typescript
What are intersection types in TypeScript?,Intersection types combine multiple types into one type that has all properties from the combined types. They are defined using the ampersand symbol.,"[""combines multiple types"",""defined using ampersand"",""contains properties of all types"",""used for object composition"",""improves reusability""]",medium,typescript
What are generics in TypeScript?,Generics allow developers to create reusable components that work with different data types while maintaining type safety.,"[""reusable components"",""type safety"",""parameterized types"",""commonly used in functions"",""improves flexibility""]",medium,typescript
What is the unknown type in TypeScript?,The unknown type represents any value but is safer than the any type because it requires type checking before performing operations on the value.,"[""similar to any"",""requires type checking"",""improves type safety"",""prevents unsafe operations"",""introduced in newer typescript versions""]",medium,typescript
What is type narrowing in TypeScript?,"Type narrowing is the process of refining a variable’s type to a more specific type using checks like typeof, instanceof, or conditional statements.","[""refines variable type"",""uses typeof checks"",""uses instanceof checks"",""used in conditional statements"",""improves type safety""]",medium,typescript
What are optional chaining and nullish coalescing in TypeScript?,Optional chaining allows safe access to nested object properties without causing errors if a property is undefined. Nullish coalescing provides a default value when a variable is null or undefined.,"[""optional chaining operator"",""safe property access"",""nullish coalescing operator"",""default value handling"",""prevents runtime errors""]",medium,typescript
What is a readonly property in TypeScript?,A readonly property can only be assigned a value during initialization and cannot be modified afterward.,"[""immutable property"",""assigned during initialization"",""prevents modification"",""used in interfaces and classes"",""improves data integrity""]",medium,typescript
What are decorators in TypeScript?,"Decorators are special functions that can modify classes, methods, properties, or parameters at design time. They are often used in frameworks like Angular.","[""function annotations"",""modify class behavior"",""used in angular"",""class method property decorators"",""meta programming feature""]",medium,typescript
What is a namespace in TypeScript?,"A namespace is used to organize related code and prevent naming conflicts by grouping variables, classes, and functions under a single name.","[""code organization"",""prevents naming conflicts"",""group related code"",""defined using namespace keyword"",""used in older typescript modules""]",medium,typescript
What is module resolution in TypeScript?,Module resolution is the process TypeScript uses to determine the location of imported modules based on configuration and file paths.,"[""locates imported modules"",""used during compilation"",""supports node resolution"",""classic resolution strategy"",""configured in tsconfig""]",medium,typescript
