question_text,ideal_answer,key_points,difficulty,category
What is the difference between string and StringBuilder in C#?,"A string in C# is immutable, meaning it cannot be changed after creation, while StringBuilder allows modifying string content without creating new objects.",,medium,csharp
What is a delegate in C#?,A delegate is a type that represents references to methods with a specific parameter list and return type.,,medium,csharp
What is an event in C#?,An event is a mechanism that allows a class to notify other classes when something happens using delegates.,,medium,csharp
What is a sealed class in C#?,A sealed class is a class that cannot be inherited by any other class.,,medium,csharp
What is the difference between static and instance members?,"Static members belong to the class itself and are shared among all objects, while instance members belong to individual objects.",,medium,csharp
What is garbage collection in C#?,Garbage collection is an automatic memory management feature in .NET that removes unused objects from memory.,,medium,csharp
What is CLR in .NET?,"CLR stands for Common Language Runtime. It is the execution engine of the .NET framework responsible for memory management, exception handling, and security.",,medium,csharp
What is CTS in .NET?,"CTS stands for Common Type System. It defines how data types are declared, used, and managed in the .NET runtime.",,medium,csharp
What is CLS in .NET?,CLS stands for Common Language Specification. It defines a set of rules that all .NET languages must follow to ensure interoperability.,,medium,csharp
What is LINQ in C#?,LINQ stands for Language Integrated Query. It allows querying data from different data sources using a consistent syntax in C#.,,medium,csharp
What is boxing in C#?,Boxing is the process of converting a value type into a reference type by storing it in an object.,,medium,csharp
What is unboxing in C#?,Unboxing is the process of converting an object back into a value type.,,medium,csharp
What is dependency injection in C#?,Dependency injection is a design pattern used to achieve loose coupling by injecting dependencies into a class rather than creating them inside the class.,,medium,csharp
What is async and await in C#?,Async and await are used for asynchronous programming in C#. They allow non blocking operations while waiting for tasks to complete.,,medium,csharp
What is Task in C#?,A Task represents an asynchronous operation that can run in the background and return a result when completed.,,medium,csharp
What is the difference between IEnumerable and IQueryable?,IEnumerable works with in-memory collections while IQueryable is used to query data from external sources such as databases.,,medium,csharp
What is a nullable type in C#?,A nullable type allows value types to hold null values by using the question mark symbol after the type.,,medium,csharp
What is the difference between is and as operators in C#?,"The is operator checks whether an object is compatible with a given type, while the as operator attempts to cast an object to a specific type and returns null if it fails.",,medium,csharp
What is extension method in C#?,An extension method allows adding new methods to existing types without modifying their source code.,,medium,csharp
What is lambda expression in C#?,A lambda expression is a concise way to represent an anonymous function that can contain expressions or statements.,,medium,csharp
What is a generic in C#?,"Generics allow defining classes, methods, and interfaces with placeholders for types, enabling code reuse with type safety.",,medium,csharp
What is the difference between List and Array in C#?,"An array has a fixed size once created, while a List is dynamic and can grow or shrink during runtime.",,medium,csharp
What is a struct in C#?,"A struct is a value type in C# used to represent lightweight objects. Unlike classes, structs are stored in stack memory and cannot inherit from other structs or classes.",,medium,csharp
What is the difference between break and continue in C#?,"The break statement terminates the loop immediately, while the continue statement skips the current iteration and moves to the next iteration of the loop.",,medium,csharp
What is exception handling in C#?,"Exception handling is a mechanism used to handle runtime errors using try, catch, and finally blocks to prevent program crashes.",,medium,csharp
What is the difference between throw and throws in C#?,"The throw keyword is used to explicitly throw an exception in C#, while C# does not use throws like Java. Instead, exceptions are handled directly using try-catch blocks.",,medium,csharp
What is the difference between string and StringBuilder in C#?,"A string in C# is immutable, meaning it cannot be changed after creation, while StringBuilder allows modifying string content without creating new objects.",,medium,csharp
What is a delegate in C#?,A delegate is a type that represents references to methods with a specific parameter list and return type.,,medium,csharp
What is an event in C#?,An event is a mechanism that allows a class to notify other classes when something happens using delegates.,,medium,csharp
What is a sealed class in C#?,A sealed class is a class that cannot be inherited by any other class.,,medium,csharp
What is the difference between static and instance members?,"Static members belong to the class itself and are shared among all objects, while instance members belong to individual objects.",,medium,csharp
What is garbage collection in C#?,Garbage collection is an automatic memory management feature in .NET that removes unused objects from memory.,,medium,csharp
What is CLR in .NET?,"CLR stands for Common Language Runtime. It is the execution engine of the .NET framework responsible for memory management, exception handling, and security.",,medium,csharp
What is CTS in .NET?,"CTS stands for Common Type System. It defines how data types are declared, used, and managed in the .NET runtime.",,medium,csharp
What is CLS in .NET?,CLS stands for Common Language Specification. It defines a set of rules that all .NET languages must follow to ensure interoperability.,,medium,csharp
What is LINQ in C#?,LINQ stands for Language Integrated Query. It allows querying data from different data sources using a consistent syntax in C#.,,medium,csharp
What is boxing in C#?,Boxing is the process of converting a value type into a reference type by storing it in an object.,,medium,csharp
What is unboxing in C#?,Unboxing is the process of converting an object back into a value type.,,medium,csharp
What is dependency injection in C#?,Dependency injection is a design pattern used to achieve loose coupling by injecting dependencies into a class rather than creating them inside the class.,,medium,csharp
What is async and await in C#?,Async and await are used for asynchronous programming in C#. They allow non blocking operations while waiting for tasks to complete.,,medium,csharp
What is Task in C#?,A Task represents an asynchronous operation that can run in the background and return a result when completed.,,medium,csharp
What is the difference between IEnumerable and IQueryable?,IEnumerable works with in-memory collections while IQueryable is used to query data from external sources such as databases.,,medium,csharp
What is a nullable type in C#?,A nullable type allows value types to hold null values by using the question mark symbol after the type.,,medium,csharp
What is the difference between is and as operators in C#?,"The is operator checks whether an object is compatible with a given type, while the as operator attempts to cast an object to a specific type and returns null if it fails.",,medium,csharp
What is extension method in C#?,An extension method allows adding new methods to existing types without modifying their source code.,,medium,csharp
What is lambda expression in C#?,A lambda expression is a concise way to represent an anonymous function that can contain expressions or statements.,,medium,csharp
What is a generic in C#?,"Generics allow defining classes, methods, and interfaces with placeholders for types, enabling code reuse with type safety.",,medium,csharp
What is the difference between List and Array in C#?,"An array has a fixed size once created, while a List is dynamic and can grow or shrink during runtime.",,medium,csharp
What is HTML?,"HTML (HyperText Markup Language) is the standard markup language used to create and design webpages. It structures content by using tags to define elements like headings, paragraphs, links, images, and forms.",,easy,html
What are HTML tags?,"HTML tags are keywords enclosed in angle brackets that define the structure and content of HTML elements. Tags usually come in pairs: an opening tag and a closing tag, such as <p> and </p> for paragraphs.",,easy,html
What is the difference between block-level and inline elements?,"Block-level elements start on a new line and take up the full width of their container, like <div>, <p>, <h1>. Inline elements do not start on a new line and only take up as much width as needed, like <span>, <a>, <strong>.",,easy,html
What is the purpose of the <!DOCTYPE html> declaration?,The <!DOCTYPE html> declaration defines the document type and version of HTML used. It ensures that the browser renders the page in standards-compliant mode rather than quirks mode.,,easy,html
What is the difference between <head> and <body>?,"The <head> section contains metadata, links to stylesheets, scripts, and page information not displayed directly. The <body> section contains the visible content of the webpage, like text, images, and interactive elements.",,easy,html
What is an HTML attribute?,"An HTML attribute provides additional information about an element. Attributes are placed inside the opening tag and usually come in name-value pairs, such as src='image.jpg' for <img> or href='link.html' for <a>.",,easy,html
What is the difference between <div> and <span>?,"<div> is a block-level element used to group content and structure layouts, while <span> is an inline element used to style or mark up text within a block. Both can have classes or IDs for styling.",,easy,html
What is the difference between <ol> and <ul>?,"<ol> creates an ordered list with numbered items, while <ul> creates an unordered list with bullet points. Both contain <li> elements for list items.",,easy,html
What is the purpose of the <a> tag?,"The <a> tag defines a hyperlink that allows users to navigate to another page, location, or resource. The href attribute specifies the link destination.",,easy,html
What is the purpose of the <img> tag?,"The <img> tag is used to display images on a webpage. The src attribute specifies the image source, and alt provides alternative text for accessibility.",,easy,html
What is the difference between <strong> and <b>?,"<strong> indicates that text is important and carries semantic meaning for accessibility, while <b> simply makes text bold without semantic importance.",,easy,html
What is the purpose of <meta> tags in HTML?,"<meta> tags provide metadata about the HTML document, such as character encoding, viewport settings, author, and SEO information. They are placed in the <head> section.",,easy,html
What is the difference between <header> and <footer>?,"<header> defines introductory content or navigation at the top of a page or section, while <footer> defines content at the bottom, such as copyright info or links.",,easy,html
What is the purpose of the <form> tag?,"<form> is used to collect user input on webpages. It can contain input elements like text fields, radio buttons, checkboxes, and a submit button to send data to a server.",,easy,html
What is the difference between GET and POST in HTML forms?,"GET appends form data to the URL and is visible, while POST sends data in the request body, which is more secure for sensitive information. GET is used for fetching data; POST is used for submitting data.",,easy,html
What is the difference between <input type='text'> and <textarea>?,"<input type='text'> creates a single-line text input, while <textarea> creates a multi-line text input field. Both are used in forms to collect textual data.",,easy,html
What is the purpose of the <link> tag?,"<link> is used to link external resources to the HTML document, such as CSS stylesheets or icons. It is placed in the <head> section.",,easy,html
What is the difference between <script> and <noscript>?,"<script> is used to include JavaScript code in HTML, while <noscript> provides alternative content if JavaScript is disabled in the browser.",,easy,html
What are semantic HTML elements?,"Semantic HTML elements clearly describe their meaning and purpose, like <header>, <footer>, <article>, and <section>. They improve accessibility, SEO, and code readability.",,easy,html
What is the difference between <em> and <i>?,"<em> indicates emphasis with semantic meaning, while <i> is used for italic styling without semantic importance. Emphasis improves accessibility and screen reader interpretation.",,easy,html
What is the difference between HTML4 and HTML5?,"HTML5 is the latest version of HTML that introduces new semantic elements, multimedia support (audio and video), canvas for graphics, local storage, and better APIs for web applications. HTML4 lacks these features and relies on older methods like <div> for structure and Flash for multimedia.",,medium,html
What are semantic tags in HTML5 and why are they important?,"Semantic tags provide meaning to the content they enclose, such as <article>, <section>, <nav>, and <aside>. They help search engines, screen readers, and developers understand the structure of the page better, improving SEO and accessibility.",,medium,html
What is the difference between <section> and <div>?,"<section> is a semantic element that groups related content with meaning, whereas <div> is a non-semantic container used purely for styling or layout purposes. <section> indicates a distinct section of content, improving accessibility and SEO.",,medium,html
Explain the use of the <canvas> element in HTML5.,"<canvas> is used to draw graphics via JavaScript, including shapes, charts, animations, and games. It provides a drawable region on the page that can be manipulated dynamically without requiring external plugins.",,medium,html
What is the difference between localStorage and sessionStorage?,"Both localStorage and sessionStorage are Web Storage APIs in HTML5. localStorage stores data persistently across browser sessions, while sessionStorage stores data only for the current session and is cleared when the tab is closed.",,medium,html
Explain the difference between <iframe> and <embed>.,"<iframe> is used to embed another HTML document within the current page, while <embed> is used to include multimedia content like videos, PDFs, or Flash objects. <iframe> allows full HTML rendering inside it, whereas <embed> is for external media.",,medium,html
What are data-* attributes in HTML5?,"data-* attributes allow embedding custom data into HTML elements. These attributes can be accessed via JavaScript using dataset properties, providing a way to store extra information without affecting the DOM structure or validation.",,medium,html
Explain the difference between <b> and <strong> tags.,"<b> makes text bold purely for styling, while <strong> indicates importance or emphasis with semantic meaning. <strong> is better for accessibility, as screen readers interpret it as emphasized text.",,medium,html
Explain the difference between <i> and <em>.,"<i> italicizes text for visual effect, while <em> emphasizes text semantically. <em> helps assistive technologies understand the importance or stress of content, while <i> does not.",,medium,html
What is the difference between <audio> and <video> tags?,"<audio> is used to embed sound files, while <video> is used to embed video content. Both tags support multiple formats, provide controls, and can be manipulated via JavaScript for playback, looping, and volume control.",,medium,html
Explain the difference between <nav> and <menu>.,"<nav> defines a section of navigation links for the website, improving semantics and accessibility. <menu> was originally used for context menus or lists of commands but is rarely used now; <nav> is preferred for main navigation.",,medium,html
What is the difference between <header> and <h1>?,"<header> is a semantic container for introductory content or navigational links at the top of a page or section, while <h1> defines the top-level heading of a section. <header> may contain <h1> along with other elements.",,medium,html
What are HTML forms and how do you validate them?,"HTML forms collect user input through input fields, checkboxes, radio buttons, and selects. Validation can be performed using attributes like required, pattern, min, max, or using JavaScript for custom checks before submission.",,medium,html
What is the difference between <label> and placeholder in forms?,"<label> provides a descriptive text for an input field and improves accessibility, while placeholder shows temporary hint text inside the input box. Labels remain visible, whereas placeholders disappear when typing starts.",,medium,html
Explain the use of the <details> and <summary> elements.,"<details> creates a collapsible content container, and <summary> provides the visible heading that can be clicked to expand or collapse. This allows interactive disclosure of information without JavaScript.",,medium,html
What is the difference between <progress> and <meter>?,"<progress> displays the completion status of a task, such as loading or uploading, while <meter> represents a scalar measurement within a known range, like disk usage or temperature.",,medium,html
Explain the use of <abbr> and <acronym> tags.,"<abbr> defines an abbreviation or acronym, with a title attribute to show full form. <acronym> was used in older HTML versions for acronyms, but is obsolete; <abbr> is recommended.",,medium,html
What is the difference between <blockquote> and <q>?,"<blockquote> is used for long quotations and is displayed as a block element, while <q> is for short inline quotations. <blockquote> may have a cite attribute referencing the source.",,medium,html
What is the difference between <figure> and <div>?,"<figure> is a semantic container for images, illustrations, or code snippets with an optional <figcaption> describing the content. <div> is non-semantic and used only for layout or styling purposes.",,medium,html
Explain the difference between <source> and <track> tags.,"<source> defines multiple media sources for <audio> or <video> tags, allowing fallback formats. <track> provides text tracks like subtitles, captions, or descriptions for media playback.",,medium,html
Explain the use of <template> element.,"<template> holds HTML content that is not rendered immediately but can be instantiated via JavaScript. It is useful for reusable components, dynamic content rendering, or client-side templating.",,medium,html
What is the difference between <mark> and <span>?,"<mark> highlights text semantically, indicating relevance or search results, while <span> is a generic inline container for styling without semantic meaning.",,medium,html
Explain the difference between <input type='radio'> and <input type='checkbox'>.,"Radio buttons allow selection of only one option within a group, while checkboxes allow multiple selections. Both collect user input but differ in selection behavior and grouping.",,medium,html
Explain the difference between <script async> and <script defer>.,"Both async and defer load scripts without blocking HTML parsing. async executes the script as soon as it downloads, potentially out of order, while defer executes scripts in order after HTML parsing completes.",,medium,html
Explain the difference between <style> and <link> tags for CSS.,"<style> defines internal CSS inside the HTML file, while <link> links to an external CSS file. <link> allows reuse across multiple pages, whereas <style> applies styles only to the current page.",,medium,html
What is the difference between <base> and <meta> tags?,"<base> specifies a base URL for all relative URLs in a document, while <meta> provides metadata such as character set, viewport, or page description. <base> affects link resolution; <meta> affects browser behavior or SEO.",,medium,html
Explain the difference between <link rel='stylesheet'> and @import in CSS.,"Using <link> loads CSS externally before page rendering, improving performance, while @import loads CSS after parsing starts, which can delay rendering. <link> is preferred for modern web pages for faster page loads.",,medium,html
What is the purpose of <base target='_blank'>?,The <base> tag with target='_blank' sets the default behavior for all links to open in a new tab or window unless overridden by individual link attributes.,,medium,html
What are Web Components in HTML and how do they work?,"Web Components are a set of web platform APIs that allow developers to create reusable, encapsulated HTML elements. They consist of Custom Elements, Shadow DOM, and HTML Templates. Shadow DOM ensures style and DOM encapsulation, preventing conflicts with the main page.",,hard,html
Explain the difference between Shadow DOM and Light DOM.,"Shadow DOM is a hidden, encapsulated DOM attached to an element, allowing private markup and styling. Light DOM is the regular DOM visible to the main document. Shadow DOM prevents external CSS and scripts from affecting internal components.",,hard,html
What are the different types of HTML5 storage options?,"HTML5 provides multiple client-side storage options: localStorage (persistent key-value storage), sessionStorage (session-specific storage), cookies (small persistent data), and IndexedDB (for structured, large-scale data). These allow offline data storage and improve performance.",,hard,html
Explain the HTML5 Drag and Drop API.,"The Drag and Drop API allows elements to be draggable using HTML and JavaScript. It involves draggable attributes, dragstart, dragover, drop events, and DataTransfer objects to transfer data between source and target elements.",,hard,html
Explain the difference between <template> and <slot> elements.,<template> defines HTML content that is not rendered immediately and can be instantiated via JavaScript. <slot> is used in Web Components to define placeholder content for child nodes projected into Shadow DOM.,,hard,html
What are HTML Custom Elements?,"Custom Elements allow developers to define new HTML tags with custom behavior. They are registered using JavaScript with custom lifecycle callbacks such as connectedCallback, disconnectedCallback, and attributeChangedCallback.",,hard,html
Explain the difference between <canvas> and <svg>.,"<canvas> is a raster-based graphics API used for pixel manipulation and dynamic animations. <svg> is vector-based and defines graphics in XML, scaling without quality loss. Canvas is faster for dynamic scenes; SVG is better for scalable graphics and accessibility.",,hard,html
Explain HTML5 semantic events and give examples.,"HTML5 introduced new semantic events for richer user interaction: input events (input, change), media events (play, pause, ended), form events (invalid, submit), and drag events (dragstart, drop). These provide fine-grained control for interactive elements.",,hard,html
What is the difference between HTTP/1.1 and HTTP/2 in relation to HTML content delivery?,"HTTP/2 allows multiplexing multiple requests over a single connection, reducing latency and improving delivery of HTML, CSS, and JS files. HTTP/1.1 opens multiple connections sequentially. HTTP/2 also supports server push for preloading resources.",,hard,html
What are HTML5 Microdata attributes?,"Microdata allows embedding structured data in HTML using attributes like itemscope, itemtype, and itemprop. This helps search engines and tools extract semantic information for SEO and rich snippets.",,hard,html
Explain the use of <picture> and <source> elements for responsive images.,"<picture> defines a container for multiple image sources. <source> allows specifying different images based on media queries or formats. The browser selects the most appropriate source, improving responsiveness and performance.",,hard,html
Explain the difference between <link rel='preload'> and <link rel='prefetch'>.,"<link rel='preload'> tells the browser to fetch a resource needed immediately, improving critical path performance. <link rel='prefetch'> fetches resources likely needed in the future, optimizing for idle network time.",,hard,html
What are HTML5 semantic form elements and their advantages?,"HTML5 introduces semantic form elements like <email>, <url>, <tel>, <date>, <number>. These provide built-in validation, better accessibility, and improved user experience on modern browsers and mobile devices.",,hard,html
Explain the difference between <details>/<summary> and accordions implemented with JavaScript.,"<details> and <summary> provide a native HTML way to create collapsible content without JavaScript. JavaScript accordions allow more styling and advanced behavior but require event handling, increasing complexity.",,hard,html
Explain the difference between <output> and <progress> elements.,"<output> represents the result of a calculation or user action, while <progress> represents task completion percentage. <output> can display dynamic values; <progress> shows visual progress bar for ongoing tasks.",,hard,html
"What is the difference between <object>, <embed>, and <iframe>?","<object> can include images, videos, PDFs, or HTML, and can fallback content. <embed> is simpler for external media. <iframe> embeds a full HTML document within a page. Object allows more fallback and flexibility.",,hard,html
What is the difference between <main> and <article>?,"<main> represents the dominant content of a page, used once per document. <article> is independent, self-contained content that could be syndicated, like a blog post. Both improve semantics and accessibility.",,hard,html
Explain the use of <noscript> in modern HTML5 applications.,"<noscript> provides fallback content for users with JavaScript disabled or unsupported browsers. It ensures critical information or alternative navigation is available, improving accessibility and user experience.",,hard,html
Explain the difference between HTML5 Microformats and Microdata.,"Microformats are simple semantic conventions using existing HTML tags and classes, while Microdata introduces new attributes like itemscope, itemtype, and itemprop to embed structured data. Microdata is more flexible and powerful for SEO.",,hard,html
Explain the difference between <time> and <date> input types in HTML5.,"<time> element represents a specific time or datetime in HTML, whereas <input type='date'> provides a date picker input field for forms. <time> is semantic markup, <input type='date'> is for user input.",,hard,html
Explain the difference between <picture> and <img srcset> for responsive images.,"<picture> allows multiple <source> elements with media queries for complex responsive needs, while <img srcset> defines multiple image resolutions for different screen sizes. Picture gives full control over conditions; srcset simplifies basic responsiveness.",,hard,html
What is CSS?,"CSS (Cascading Style Sheets) is a stylesheet language used to describe the presentation of an HTML document. It allows developers to control layout, colors, fonts, and overall visual appearance of web pages.",,easy,css
What are the different types of CSS?,"There are three types of CSS: Inline CSS, applied directly to elements; Internal CSS, written in a <style> tag within HTML; and External CSS, stored in separate .css files and linked to HTML.",,easy,css
"What is the difference between relative, absolute, fixed, and sticky positioning?",Relative positions elements relative to their normal position. Absolute positions elements relative to the nearest positioned ancestor. Fixed positions elements relative to the viewport and does not move when scrolling. Sticky toggles between relative and fixed depending on scroll position.,,easy,css
What are pseudo-classes in CSS?,"Pseudo-classes define the special state of an element, like :hover for mouseover, :focus for input focus, and :first-child for the first child element. They help style elements based on user interaction or position.",,easy,css
What is the difference between relative and absolute units in CSS?,"Relative units (%, em, rem) are based on parent element or root font size and scale dynamically. Absolute units (px, cm, in) are fixed and do not scale with other elements. Relative units help with responsive design.",,easy,css
"What is the difference between inline, block, and inline-block elements?","Block elements take full width and start on a new line (e.g., <div>). Inline elements take only the space they need and flow with text (e.g., <span>). Inline-block elements behave like inline but allow setting width and height.",,easy,css
What are CSS selectors?,"CSS selectors target HTML elements to apply styles. They can be simple (element, class, id) or complex (combinators, pseudo-classes, pseudo-elements). They determine which elements the CSS rules apply to.",,easy,css
"What is the difference between relative, absolute, and fixed positioning?","Relative positions elements relative to their normal position, absolute relative to nearest positioned ancestor, and fixed relative to viewport. These control how elements are placed on the page.",,easy,css
What is the difference between ID and class selectors?,"ID selectors use #id and are unique per page, while class selectors use .classname and can be applied to multiple elements. IDs have higher specificity than classes.",,easy,css
"What is the difference between relative, absolute, fixed, and sticky positions?","Relative: moves element relative to normal position. Absolute: positions element relative to the nearest ancestor with position. Fixed: element stays fixed on viewport. Sticky: behaves like relative until scroll crosses threshold, then fixed.",,easy,css
What is the difference between inline styles and external CSS?,"Inline styles are written inside HTML elements using the style attribute, affecting only that element. External CSS is written in separate .css files and can style multiple pages, promoting maintainability.",,easy,css
What are pseudo-elements in CSS?,"Pseudo-elements allow styling of specific parts of an element, like ::before and ::after, or first letter/line. They help add content or style portions of elements without modifying HTML.",,easy,css
What is the difference between relative and absolute font-size units?,"Relative units (em, rem, %) scale with parent or root font size, while absolute units (px, pt) are fixed. Relative units are preferred for accessibility and responsive design.",,easy,css
What is the difference between position: static and position: relative?,"Static is the default positioning where elements flow normally. Relative positions elements relative to their normal static position and allows offset with top, bottom, left, right.",,easy,css
What are media queries in CSS?,"Media queries allow applying CSS styles based on device characteristics like width, height, orientation, or resolution. They enable responsive web design.",,easy,css
What is the difference between relative and fixed units in CSS?,"Relative units (%, em, rem) scale according to parent element or root font, while fixed units (px, cm, in) remain constant. Relative units adapt to different screen sizes, improving responsiveness.",,easy,css
"What is the difference between inline, block, and inline-block?","Block elements take full width and start on a new line, inline elements flow with text, and inline-block behaves like inline but allows setting width/height.",,easy,css
What is the difference between absolute and relative URLs in CSS?,"Absolute URLs provide full path to a resource including domain, while relative URLs are based on the location of the CSS file. Relative URLs make CSS portable across environments.",,easy,css
"What is the difference between min-width, max-width, and width in CSS?",Width sets the element’s width. min-width ensures the element is at least a minimum width. max-width restricts the element to a maximum width. These help create flexible layouts.,,easy,css
What is the difference between relative and absolute positioning in CSS?,"Relative positions an element relative to its normal position. Absolute positions it relative to the nearest positioned ancestor. Absolute removes it from normal flow, while relative keeps it in flow.",,easy,css
"What is the difference between relative, absolute, fixed, and sticky positioning?","Relative positions an element relative to its normal position. Absolute positions an element relative to the nearest positioned ancestor. Fixed positions an element relative to the viewport, and it stays fixed during scrolling. Sticky toggles between relative and fixed depending on scroll position.",,medium,css
"Explain the difference between inline, block, and inline-block elements.","Block elements take full width and start on a new line, inline elements take only the space they need and flow with text, and inline-block elements behave like inline elements but allow setting width and height.",,medium,css
What are pseudo-classes in CSS? Give examples.,"Pseudo-classes define special states of elements. Examples include :hover for mouseover, :focus for focused input, :nth-child() for selecting specific child elements, and :checked for selected checkboxes or radio buttons.",,medium,css
What are pseudo-elements in CSS? Give examples.,"Pseudo-elements allow styling specific parts of an element. Examples include ::before and ::after to insert content, ::first-letter to style the first letter, and ::first-line to style the first line of a block.",,medium,css
"Explain the difference between em, rem, and px units.","px is an absolute unit, em is relative to the font size of the parent element, and rem is relative to the root font size. em and rem are preferred for scalable and responsive designs.",,medium,css
What are the different display properties in CSS?,"Display properties define how an element behaves in the layout. Common values include block, inline, inline-block, flex, grid, none, table, and inline-table. They control layout, flow, and spacing.",,medium,css
"Explain the difference between relative, absolute, and fixed background attachment.","background-attachment: relative/scroll means background scrolls with content, fixed keeps background fixed in viewport, local scrolls background with element’s content. It controls background positioning behavior during scrolling.",,medium,css
What is the difference between position: static and position: relative?,"Static is default positioning where elements flow normally. Relative allows elements to be offset from their normal position using top, bottom, left, and right without removing them from the flow.",,medium,css
Explain the difference between z-index and stacking context.,"z-index determines the stacking order of positioned elements. Stacking context is a three-dimensional space created by elements with position and z-index, controlling how children are layered. Nested contexts affect stacking order.",,medium,css
"What is the difference between relative, absolute, and fixed units in CSS?","Relative units (%, em, rem) scale with parent element or root font size, making them suitable for responsive design. Absolute units (px, cm, in) are fixed and do not scale with screen size.",,medium,css
"Explain the difference between inline styles, internal CSS, and external CSS.",Inline styles are written directly in the element's style attribute. Internal CSS is written within a <style> tag in the HTML document. External CSS is stored in separate .css files and linked via <link>. External CSS is preferred for reusability.,,medium,css
"Explain the difference between relative, absolute, and sticky positioning in CSS Grid.","In CSS Grid, relative offsets move an element from its default grid cell. Absolute positions elements relative to nearest positioned ancestor, ignoring grid placement. Sticky allows elements to stick in place inside a grid container when scrolling.",,medium,css
What is the difference between flex and grid layout?,Flexbox is a one-dimensional layout system for arranging items in rows or columns. CSS Grid is a two-dimensional system controlling both rows and columns. Flex is simpler for linear layouts; Grid is more powerful for complex designs.,,medium,css
What is the difference between relative and absolute positioning in Flexbox?,"Relative offsets an element within its Flex container. Absolute removes it from the Flex flow and positions it relative to nearest ancestor. Absolute ignores flex rules, while relative respects them.",,medium,css
What are transitions in CSS?,"CSS transitions allow smooth animation when property values change. They include duration, timing-function, delay, and properties to animate. They provide a simple way to animate hover, focus, or dynamic changes.",,medium,css
What are CSS animations?,"CSS animations allow complex, keyframe-based animations using @keyframes. They can control movement, color, size, and other properties over time with animation-duration, iteration-count, and animation-timing-function.",,medium,css
Explain the difference between visibility: hidden and display: none.,"visibility: hidden hides an element but keeps its space in layout. display: none removes the element completely from layout. Both hide content visually, but only display affects page flow.",,medium,css
What are CSS variables?,CSS variables (custom properties) allow defining reusable values using --varName syntax. They can be used with var(--varName). They improve maintainability and allow dynamic theming.,,medium,css
"Explain the difference between relative, absolute, and fixed units for font-size.","Relative units (em, rem, %) scale based on parent or root font size. Absolute units (px, pt) remain fixed. Relative units improve accessibility and responsiveness.",,medium,css
What are media queries and how do they help in responsive design?,"Media queries apply styles based on device characteristics like width, height, orientation, and resolution. They enable responsive design by adapting layout and style to different screen sizes.",,medium,css
Explain the difference between relative and absolute units for width and height.,"Relative units (%, vw, vh) scale based on parent element or viewport. Absolute units (px, cm) remain fixed. Relative units make layouts responsive, while absolute units are fixed.",,medium,css
"What is the difference between min-width, max-width, and width?","Width sets element size, min-width sets minimum allowed width, max-width sets maximum allowed width. These allow flexible and responsive layouts, preventing layout breaking.",,medium,css
What is the difference between absolute and relative positioning in CSS Grid?,"Relative offsets move the element within its grid cell, maintaining flow. Absolute removes the element from the grid flow and positions it relative to the nearest positioned ancestor.",,medium,css
What are pseudo-classes :nth-child() and :nth-of-type()?,:nth-child() selects an element based on its position among all children. :nth-of-type() selects elements based on type (tag) position among siblings. Both help style specific elements without adding classes.,,medium,css
"Explain the difference between flex-grow, flex-shrink, and flex-basis.",flex-grow defines how much a flex item grows relative to others. flex-shrink defines how it shrinks when container is smaller. flex-basis defines the default size before growth or shrinkage.,,medium,css
"What is the difference between relative, absolute, and sticky positioning in CSS for headers?","Relative moves header from normal flow, absolute positions it relative to parent container, sticky keeps it at the top until scroll threshold is reached. Sticky is often used for fixed navigation bars.",,medium,css
Explain the difference between visibility: hidden and opacity: 0.,"visibility: hidden hides the element but keeps it in layout. opacity: 0 makes the element fully transparent but it still responds to events and occupies space. Both hide visually, but interaction behavior differs.",,medium,css
"What is the difference between relative, absolute, and fixed positioning for tooltips?","Relative positions the tooltip relative to its element, absolute positions it relative to nearest ancestor, fixed keeps it visible relative to viewport. Choice affects behavior on scroll and container.",,medium,css
"What is the difference between absolute, fixed, sticky, and relative positioning in complex layouts?","Absolute positions elements relative to the nearest positioned ancestor, removing them from normal flow. Fixed positions relative to the viewport and stays visible during scroll. Sticky acts like relative until a scroll threshold is reached, then behaves like fixed. Relative offsets the element from its normal position without removing it from the flow. Understanding these is critical in overlapping elements and responsive layouts.",,hard,css
Explain CSS stacking context and how it affects z-index.,"A stacking context is a three-dimensional hierarchy of elements controlling which elements appear on top. Elements with position and z-index can create new stacking contexts. Nested contexts isolate z-index, meaning child elements cannot escape parent stacking context. Understanding stacking context is crucial for managing overlays, modals, and dropdowns.",,hard,css
"Explain the difference between inline, block, inline-block, flex, and grid display properties in advanced layouts.","Block elements take full width; inline elements flow with text; inline-block behaves like inline but allows width/height; flex enables one-dimensional layout with flexible item sizing; grid enables two-dimensional layout controlling both rows and columns. Choosing the right display type affects alignment, spacing, and responsiveness.",,hard,css
"Explain the difference between relative, em, rem, vw, vh, and % units and when to use each.","Relative units: em scales with parent font, rem scales with root font, % scales with parent container, vw/vh scale with viewport. Absolute units (px, pt) remain fixed. Relative units are preferred for responsive design and accessibility, while absolute units are used for precise control.",,hard,css
Explain CSS specificity and how it affects rule application.,Specificity determines which CSS rule applies when multiple rules target the same element. Inline styles > ID selectors > class/pseudo-class/attribute selectors > element/pseudo-element selectors. !important overrides specificity but should be used sparingly. Proper specificity prevents unintended style overrides.,,hard,css
